id,marker1,marker2,total_address,parcel_address,road_address
1,36.36100151,127.3511933,대전 유성구 궁동 427-12 (대전광역시 유성구 대학로159번길) ,대전 유성구 궁동 427-12,대전광역시 유성구 대학로159번길 
2,36.36386075,127.3503371,대전 유성구 궁동 400-5 (대전광역시 유성구 궁동로 52),대전 유성구 궁동 400-5,대전광역시 유성구 궁동로 52
3,36.36254122,127.347788,대전 유성구 궁동 413-11 (대전광역시 유성구 궁동로14번길 5),대전 유성구 궁동 413-11 ,대전광역시 유성구 궁동로14번길 5
4,36.36093686,127.3463268,대전 유성구 궁동 487-3 (대전광역시 유성구 대학로76번안길 39),대전 유성구 궁동 487-3,대전광역시 유성구 대학로76번안길 39
5,36.36045081,127.3422161,대전 유성구 궁동 474-4 (대전광역시 유성구 대학로75번길 30),대전 유성구 궁동 474-4,대전광역시 유성구 대학로75번길 30
6,36.36312281,127.3492168,대전 유성구 궁동 397-6 (대전광역시 유성구 대학로141번길 43),대전 유성구 궁동 397-6,대전광역시 유성구 대학로141번길 43
7,37.59925652,127.0582675,서울 동대문구 이문동 339-4 (이문동),서울 동대문구 이문동 339-4,이문동
8,37.56517349,126.9581249,서울 서대문구 북아현동 1-363 (북아현동),서울 서대문구 북아현동 1-363,북아현동
9,36.37341291,127.3473433,대전 유성구 궁동 220 (대전광역시 유성구 대학로 99),대전 유성구 궁동 220,대전광역시 유성구 대학로 99
10,36.37041378,127.3559269,대전 유성구 어은동 52-10,대전 유성구 어은동 52-10,
11,36.36014502,127.3420031,대전 유성구 궁동 471-4 (대전광역시 유성구 대학로75번길 31),대전 유성구 궁동 471-4 ,대전광역시 유성구 대학로75번길 31
12,37.47123529,126.9411199,서울 관악구 신림동 1516-4 (신림동),서울 관악구 신림동 1516-4,신림동
13,36.36231877,127.3509764,대전 유성구 궁동 408-5(대전 유성구 대학로159번길 35),대전 유성구 궁동 408-5,
14,36.35944952,127.3409862,대전 유성구 궁동 468-15 (대전광역시 유성구 문화원로46번길 18),대전 유성구 궁동 468-15,대전광역시 유성구 문화원로46번길 18
15,36.36302842,127.351442,대전 유성구 궁동 6-9 (대전광역시 유성구 대학로163번길 57),대전 유성구 궁동 6-9 ,대전광역시 유성구 대학로163번길 57
